player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Barcelona,"Samuel Eto""o Fils",Center Forward,Right Foot,Normal,Iker Casillas Fernández,Real Madrid,La Liga,Regular Season,Camp Nou,RL
Barcelona,Zlatan Ibrahimovi?,Center Forward,Right Foot,Normal,Roberto Jiménez Gago,Real Zaragoza,La Liga,Regular Season,Estadio de la Romareda,LL
Getafe,Roberto Soldado Rillo,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Iker Casillas Fernández,Real Madrid,La Liga,Regular Season,Estadio Santiago Bernabéu,CH
Real Madrid,Cristiano Ronaldo dos Santos Aveiro,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Santiago Bernabéu,RC
Real Sociedad,Xabier Prieto Argarate,Right Wing,Right Foot,Normal,José Manuel Pinto Colorado,Barcelona,La Liga,Regular Season,Reale Arena,CH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Dudú Aouate,Mallorca,La Liga,Regular Season,Camp Nou,
England Women's,Stephanie Houghton,Right Center Back,Right Foot,Normal,Alyssa Naeher,United States Women's,Women's World Cup,Semi-finals,Groupama Stadium,LL
Getafe,Manuel del Moral Fernández,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Coliseum Alfonso Pérez,LH
Athletic Bilbao,Andoni Iraola Sagarna,Right Back,Right Foot,Normal,José Manuel Pinto Colorado,Barcelona,La Liga,Regular Season,Camp Nou,RL
Racing Santander,Mohamed Gasana Tchité,Right Center Forward,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Campos de Sport de El Sardinero,LH
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Antonio Rodríguez Martínez,Racing Santander,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Diego Alves Carreira,Almería,La Liga,Regular Season,Camp Nou,RC
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Ricardo López Felipe,Osasuna,La Liga,Regular Season,Estadio El Sadar,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Left Foot,Normal,Dudú Aouate,Mallorca,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Cristian Darío Álvarez,Espanyol,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Cristian Darío Álvarez,Espanyol,La Liga,Regular Season,Camp Nou,RH
United States Women's,Megan Rapinoe,Left Wing,Right Foot,Normal,Sari van Veenendaal,Netherlands Women's,Women's World Cup,Final,Groupama Stadium,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Mario Fernández Cuesta,Racing Santander,La Liga,Regular Season,Campos de Sport de El Sardinero,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Gorka Iraizoz Moreno,Athletic Bilbao,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Casto Espinosa Barriga,Real Betis,La Liga,Regular Season,Camp Nou,CH
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Javier Varas Herrera,Sevilla,La Liga,Regular Season,Camp Nou,RC
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Idriss Carlos Kameni,Málaga,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Idriss Carlos Kameni,Málaga,La Liga,Regular Season,Camp Nou,RH
Real Zaragoza,Ángel Lafita Castillo,Center Attacking Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio de la Romareda,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Roberto Jiménez Gago,Real Zaragoza,La Liga,Regular Season,Estadio de la Romareda,CH
Levante,José Javier Barkero Saludes,Center Attacking Midfield,Left Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Ciudad de Valencia,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Left Foot,Normal,Gustavo Adolfo Munúa Vera,Levante,La Liga,Regular Season,Estadio Ciudad de Valencia,
Granada,Guilherme Magdalena Siqueira,Left Back,Left Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,CL
Granada,Guilherme Magdalena Siqueira,Left Back,Left Foot,Lob,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Andrés Eduardo Fernández Moreno,Osasuna,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Keylor Navas Gamboa,Levante,La Liga,Regular Season,Camp Nou,LH
Levante,José Javier Barkero Saludes,Center Attacking Midfield,Left Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Ciudad de Valencia,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Vicente Guaita Panadero,Valencia,La Liga,Regular Season,Estadio de Mestalla,
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Miguel Ángel Moyà Rumbo,Getafe,La Liga,Regular Season,Coliseum Alfonso Pérez,RH
Rayo Vallecano,Roberto Trashorras Gayoso,Right Center Midfield,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio de Vallecas,LH
Atlético Madrid,Mario Mandžuki?,Center Forward,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Camp Nou,
Deportivo La Coruna,Luís Miguel Afonso Fernandes,Left Wing,Right Foot,Normal,Víctor Valdés Arribas,Barcelona,La Liga,Regular Season,Estadio Abanca-Riazor,RH
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Francisco Casilla Cortés,Espanyol,La Liga,Regular Season,RCDE Stadium,LL
Seattle Reign,Jodie Taylor,Center Forward,Right Foot,Normal,Britt Eckerstrom,Portland Thorns,NWSL,Regular Season,Providence Park,LL
Sky Blue FC,Carli Lloyd,Right Center Midfield,Right Foot,Normal,Katelyn Rowland,North Carolina Courage,NWSL,Regular Season,Yurcak Field,LH
Chicago Red Stars,Yuki Nagasato,Right Center Forward,Right Foot,Normal,Katelyn Rowland,North Carolina Courage,NWSL,Regular Season,Sahlen's Stadium at WakeMed Soccer Park,LL
Seattle Reign,Megan Rapinoe,Left Wing,Right Foot,Normal,Jane Campbell,Houston Dash,NWSL,Regular Season,UW Medicine Pitch at Memorial Stadium,
Orlando Pride,Alex Morgan,Right Center Forward,Left Foot,Normal,Abby Smith,Utah Royals,NWSL,Regular Season,Rio Tinto Stadium,
Orlando Pride,Marta Vieira da Silva,Left Center Forward,Left Foot,Normal,Kailen Sheridan,Sky Blue FC,NWSL,Regular Season,Exploria Stadium,RH
North Carolina Courage,Lynn Williams,Left Center Forward,Right Foot,Normal,Britt Eckerstrom,Portland Thorns,NWSL,Regular Season,Providence Park,
Croatia,Luka Modri?,Center Attacking Midfield,Right Foot,Normal,Francis Odinaka Uzoho,Nigeria,FIFA World Cup,Group Stage,Stadion Kaliningrad,LL
France,Antoine Griezmann,Center Forward,Left Foot,Normal,Mathew Ryan,Australia,FIFA World Cup,Group Stage,Kazan' Arena (Kazan'),RH
Australia,Mile Jedinak,Right Center Midfield,Right Foot,Normal,Hugo Lloris,France,FIFA World Cup,Group Stage,Kazan' Arena (Kazan'),RL
Argentina,Lionel Andrés Messi Cuccittini,Right Attacking Midfield,Left Foot,Normal,Hannes Þór Halldórsson,Iceland,FIFA World Cup,Group Stage,Otkrytiye Arena,CH
Peru,Christian Alberto Cueva Bravo,Center Attacking Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Group Stage,Mordovia Arena,
Tunisia,Ferjani Sassi,Right Center Midfield,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Group Stage,Volgograd Arena,LL
Sweden,Andreas Granqvist,Left Center Back,Right Foot,Normal,Hyun-Woo Cho,South Korea,FIFA World Cup,Group Stage,Stadion Nizhny Novgorod,RL
Egypt,Mohamed Salah,Right Center Forward,Left Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Group Stage,Saint-Petersburg Stadium,
Japan,Shinji Kagawa,Center Attacking Midfield,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Group Stage,Mordovia Arena,CL
Australia,Mile Jedinak,Left Center Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Group Stage,Samara Arena,RL
Iceland,Gylfi Þór Sigurðsson,Left Defensive Midfield,Right Foot,Normal,Francis Odinaka Uzoho,Nigeria,FIFA World Cup,Group Stage,Volgograd Arena,
Belgium,Eden Hazard,Left Wing,Right Foot,Normal,Farouk Ben Mustapha,Tunisia,FIFA World Cup,Group Stage,Otkrytiye Arena,LL
Mexico,Carlos Alberto Vela Garrido,Center Attacking Midfield,Left Foot,Normal,Hyun-Woo Cho,South Korea,FIFA World Cup,Group Stage,Rostov Arena,CH
England,Harry Kane,Left Center Forward,Right Foot,Normal,Jaime Manuel Penedo Cano,Panama,FIFA World Cup,Group Stage,Stadion Nizhny Novgorod,
England,Harry Kane,Left Center Forward,Right Foot,Normal,Jaime Manuel Penedo Cano,Panama,FIFA World Cup,Group Stage,Stadion Nizhny Novgorod,LH
Portugal,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Right Foot,Normal,Alireza Safar Beiranvand,Iran,FIFA World Cup,Group Stage,Mordovia Arena,RC
Iran,Karim Ansarifard,Center Defensive Midfield,Right Foot,Normal,Rui Pedro dos Santos Patrício,Portugal,FIFA World Cup,Group Stage,Mordovia Arena,
Saudi Arabia,Fahad Mosaed Al Muwallad Al Harbi,Center Forward,Right Foot,Normal,Essam Kamal Tawfik El Hadary,Egypt,FIFA World Cup,Group Stage,Volgograd Arena,LL
Saudi Arabia,Salman Mohammed Al Faraj,Left Center Midfield,Left Foot,Normal,Essam Kamal Tawfik El Hadary,Egypt,FIFA World Cup,Group Stage,Volgograd Arena,
Iceland,Gylfi Þór Sigurðsson,Right Center Midfield,Right Foot,Normal,Lovre Kalini?,Croatia,FIFA World Cup,Group Stage,Rostov Arena,
Nigeria,Victor Moses,Right Wing Back,Right Foot,Normal,Franco Armani,Argentina,FIFA World Cup,Group Stage,Saint-Petersburg Stadium,RL
Sweden,Andreas Granqvist,Left Center Back,Right Foot,Normal,Francisco Guillermo Ochoa Magaña,Mexico,FIFA World Cup,Group Stage,Ekaterinburg Arena,
Costa Rica,Bryan Ruiz González,Right Wing,Left Foot,Normal,Yann Sommer,Switzerland,FIFA World Cup,Group Stage,Stadion Nizhny Novgorod,
Portugal,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Right Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Group Stage,Olimpiyskiy Stadion Fisht,RH
France,Antoine Griezmann,Right Wing Back,Left Foot,Normal,Franco Armani,Argentina,FIFA World Cup,Round of 16,,CL
Croatia,Luka Modri?,Left Defensive Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,RL
Denmark,Christian Dannemann Eriksen,Secondary Striker,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LL
Croatia,Milan Badelj,Left Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,CL
Denmark,Simon Thorup Kjær,Right Center Back,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,
Croatia,Andrej Kramari?,Left Center Forward,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LL
Denmark,Michael Krohn-Dehli,Left Center Midfield,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LL
Croatia,Luka Modri?,Left Defensive Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,CL
Denmark,Lasse Schöne,Right Center Midfield,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LC
Croatia,Josip Pivari?,Left Back,Left Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LL
Denmark,Nicolai Jørgensen,Center Forward,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,CL
Croatia,Ivan Rakiti?,Right Defensive Midfield,Right Foot,Normal,Kasper Schmeichel,Denmark,FIFA World Cup,Round of 16,Stadion Nizhny Novgorod,LL
Russia,Artem Dzyuba,Center Forward,Right Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Round of 16,Stadion Luzhniki,RH
Spain,Andrés Iniesta Luján,Center Attacking Midfield,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Round of 16,Stadion Luzhniki,RH
Russia,Fyodor Smolov,Secondary Striker,Right Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Round of 16,Stadion Luzhniki,LH
Spain,Gerard Piqué Bernabéu,Right Center Back,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Round of 16,Stadion Luzhniki,LH
Russia,Sergei Ignashevich,Left Center Back,Right Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Round of 16,Stadion Luzhniki,RH
Spain,Jorge Resurrección Merodio,Right Defensive Midfield,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Round of 16,Stadion Luzhniki,LL
Russia,Aleksandr Golovin,Right Center Midfield,Right Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Round of 16,Stadion Luzhniki,CL
Spain,Sergio Ramos García,Left Center Back,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Round of 16,Stadion Luzhniki,LH
Russia,Denis Cheryshev,Left Midfield,Left Foot,Normal,David de Gea Quintana,Spain,FIFA World Cup,Round of 16,Stadion Luzhniki,CH
Spain,Iago Aspas Juncal,Center Forward,Left Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Round of 16,Stadion Luzhniki,CC
England,Harry Kane,Left Center Forward,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,CH
Colombia,Radamel Falcao García Zárate,Right Center Forward,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Round of 16,Otkrytiye Arena,CH
England,Harry Kane,Left Center Forward,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,LL
Colombia,Juan Guillermo Cuadrado Bello,Right Wing,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Round of 16,Otkrytiye Arena,
England,Marcus Rashford,Right Center Back,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,LL
Colombia,Luis Fernando Muriel Fruto,Right Center Midfield,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Round of 16,Otkrytiye Arena,RL
England,Jordan Brian Henderson,Center Defensive Midfield,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,RL
Colombia,Andrés Mateus Uribe Villa,Left Center Midfield,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Round of 16,Otkrytiye Arena,
England,Kieran Trippier,Right Midfield,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,LH
Colombia,Carlos Arturo Bacca Ahumada,Left Center Forward,Right Foot,Normal,Jordan Pickford,England,FIFA World Cup,Round of 16,Otkrytiye Arena,CH
England,Eric Dier,Left Attacking Midfield,Right Foot,Normal,David Ospina Ramírez,Colombia,FIFA World Cup,Round of 16,Otkrytiye Arena,LL
Russia,Fyodor Smolov,Left Wing,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,CH
Croatia,Marcelo Brozovi?,Left Midfield,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,RH
Russia,Alan Dzagoev,Center Attacking Midfield,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,RL
Croatia,Mateo Kova?i?,Right Wing,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,RL
Russia,Mário Figueira Fernandes,Right Back,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,
Croatia,Luka Modri?,Right Midfield,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,LL
Russia,Sergei Ignashevich,Left Center Back,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,LL
Croatia,Domagoj Vida,Right Back,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,LH
Russia,Daler Kuzyaev,Right Center Midfield,Right Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,LL
Croatia,Ivan Rakiti?,Center Midfield,Right Foot,Normal,Igor Akinfeev,Russia,FIFA World Cup,Quarter-finals,Olimpiyskiy Stadion Fisht,LL
France,Antoine Griezmann,Right Center Forward,Left Foot,Normal,Danijel Subaši?,Croatia,FIFA World Cup,Final,Stadion Luzhniki,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Fernando Pacheco Flores,Deportivo Alavés,La Liga,Regular Season,Estadio de Mendizorroza,LC
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Marko Dmitrovi?,Eibar,La Liga,Regular Season,Camp Nou,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Center Forward,Left Foot,Normal,Rubén Iván Martínez Andrade,Deportivo La Coruna,La Liga,Regular Season,Camp Nou,CH
Barcelona,Lionel Andrés Messi Cuccittini,Left Center Forward,Left Foot,Normal,Keylor Navas Gamboa,Real Madrid,La Liga,Regular Season,Estadio Santiago Bernabéu,CH
Las Palmas,Jonathan Calleri,Center Forward,Right Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Estadio de Gran Canaria,
Valencia,Daniel Parejo Muñoz,Right Center Midfield,Right Foot,Normal,Marc-André ter Stegen,Barcelona,La Liga,Regular Season,Camp Nou,RL
